VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
,,,Site Y-23a (Rohn),,754,,,,754,Rohn Y-23A,CMV,,,Yes
Gilliland Site,5MT12517,,"Gilliland Site, Y-22",5MT12517,755,Gilliland Site,5MT12517,,755,Y-22,CMV,,,Yes
Payne Site,5MT12205,,Payne Site,5MT12205,756,Payne Site,5MT12205,,756,,CMV,,,Yes
,5MT2785,,,5MT2785,757,,5MT2785,,757,,CMV,,,Yes
Dominguez Ruin,5MT2148,,Dominguez Ruin,5MT2148,758,Dominguez Ruin,5MT2148,,758,,CMV,,,Yes
Ida Jean,5MT4126,,Ida Jean Site,5MT4126,759,Ida Jean Site,5MT4126,,759,,CMV,,,Yes
Wallace Ruin,5MT6970,,Wallace Ruin,5MT6970,760,Wallace Ruin,5MT6970,,760,,CMV,,,Yes
,5MV693,,Mesa Verde 693 (Nps),5MV693,761,,5MV693,,761,,CMV,,,Yes
,,,Mustoe Site,5MT3834,762,Mustoe Site,5MT3834,,762,,CMV,,,Yes
,,,Y-54 Rohn,,763,,,,763,Rohn Y-54,CMV,,,Yes
Dos Casas Hamlet,5MT2193,,Dos Casas Hamlet,5MT2193,764,Dos Casas Hamlet,5MT2193,,764,,CMV,,,Yes
McPhee Pueblo,5MT4475,,McPhee Pueblo,5MT4475,765,McPhee Pueblo,5MT4475,,765,,CMV,,,Yes
Lemoc Shelter,5MT2151,,Lemoc Shelter,5MT2151,766,Lemoc Shelter,5MT2151,,766,,CMV,,,Yes
Sagehill Hamlet,5MT2198,,Sagehill Hamlet,5MT2198,767,Sagehill Hamlet,5MT2198,,767,,CMV,,,Yes
Marshview Hamlet,5MT2235,,Marshview Hamlet,5MT2235,768,Marshview Hamlet,5MT2235,,768,,CMV,,,Yes
Grass Mesa Village,5MT23,,Grass Mesa Village,5MT23,769,Grass Mesa Village,5MT23,,769,,CMV,,,Yes
Windy Wheat Hamlet,5MT4644,,Windy Wheat Hamlet,5MT4644,770,Windy Wheat Hamlet,5MT4644,,770,,CMV,,,Yes
Chindi Hamlet,5MT4684,,Chindi Hamlet,5MT4684,771,Chindi Hamlet,5MT4684,,771,,CMV,,,Yes
Horsefly Hamlet,5MT2236,,Horsefly Hamlet,5MT2236,772,Horsefly Hamlet,5MT2236,,772,,CMV,,,Yes
Tres Bobos Hamlet,5MT4545,,Tres Bobos Hamlet,5MT4545,773,Tres Bobos Hamlet,5MT4545,,773,,CMV,,,Yes
Lone Pine Hamlet,5MT2162,,Lone Pine Hamlet,5MT2162,774,Lone Pine Hamlet,5MT2162,,774,,CMV,,,Yes
Rusty Ridge Hamlet,5MT2848,,Rusty Ridge Hamlet,5MT2848,775,Rusty Ridge Hamlet,5MT2848,,775,,CMV,,,Yes
Rabbitbrush Pueblo,5MT4480,,Rabbitbrush Pueblo,5MT4480,776,Rabbitbrush Pueblo,5MT4480,,776,,CMV,,,Yes
Tres Chapulines Pueblo,5MT4725,,Tres Chapulines Pueblo,5MT4725,777,Tres Chapulines Pueblo,5MT4725,,777,,CMV,,,Yes
Hamlet de la Olla,5MT2181,,Hamlet de la Olla,5MT2181,778,Hamlet de la Olla,5MT2181,,778,,CMV,,,Yes
Masa Negra Pueblo,5MT4477,,Masa Negra Pueblo,5MT4477,779,Masa Negra Pueblo,5MT4477,,779,,CMV,,,Yes
,,,Lost Canyon Site,5MT5834,781,Lost Canyon Site,5MT5834,,781,,CMV,,,Yes
,5DL2,,,5DL2,782,,5DL2,,782,,CMV,,,Yes
,5MT5478,,,5MT5478,786,,5MT5478,,786,,CMV,,,Yes
